t,x,ts
1.6921152,0.02,1.0135705
1.7021277,0.02,1.009871
1.7121402,0.02,1.0061965
1.7221527,0.02,1.0025439
1.7321652,0.02,0.9989132
1.7421777,0.02,0.9953007
1.7521904,0.02,0.99170524
1.7622027,0.02,0.9881254
1.7722152,0.02,0.9845609
1.7822278,0.02,0.9810087
1.7922403,0.02,0.9774695
1.8022528,0.02,0.97394127
1.8122653,0.02,0.9704233
1.8222778,0.02,0.9669154
1.8322904,0.02,0.9634169
1.8423029,0.02,0.95992666
1.8523154,0.02,0.95644516
1.8623279,0.02,0.95297045
1.8723404,0.02,0.9495036
1.882353,0.02,0.94604355
1.8923655,0.02,0.94259053
1.902378,0.02,0.93914396
1.9123905,0.02,0.9357036
1.9224031,0.02,0.93226916
1.9324156,0.02,0.9288406
1.9424281,0.02,0.92541796
1.9524406,0.02,0.9220014
1.9624531,0.02,0.9185898
1.9724656,0.02,0.9151842
1.9824781,0.02,0.9117835
1.9924908,0.02,0.9083881
2.0025032,0.02,0.904998
2.0125158,0.02,0.9016127
2.0225282,0.02,0.89823264
2.0325408,0.02,0.894857
2.0425532,0.02,0.89148635
2.0525658,0.02,0.88812023
2.0625782,0.02,0.8847583
2.0725908,0.02,0.8814009
2.0826032,0.02,0.87804776
2.0926158,0.02,0.8746982
2.1026282,0.02,0.8713532
2.1126409,0.02,0.86801106
2.1226532,0.02,0.8646725
2.1326659,0.02,0.861337
2.1426783,0.02,0.858005
2.152691,0.02,0.8546756
2.1627035,0.02,0.8513488
2.1727161,0.02,0.84802383
2.1827285,0.02,0.84470147
2.1927412,0.02,0.84137994
2.2027535,0.02,0.83806103
2.2127662,0.02,0.83474296
2.2227786,0.02,0.83142513
2.2327912,0.02,0.8281079
2.2428036,0.02,0.8247909
2.2528162,0.02,0.8214739
2.2628286,0.02,0.8181564
2.2728412,0.02,0.8148375
2.2828536,0.02,0.8115173
2.2928662,0.02,0.8081954
2.3028786,0.02,0.8048721
2.3128912,0.02,0.80154556
2.3229036,0.02,0.7982163
2.3329163,0.02,0.794884
2.3429286,0.02,0.7915477
2.3529413,0.02,0.78820676
2.3629537,0.02,0.78486234
2.3729663,0.02,0.7815121
2.3829787,0.02,0.7781567
2.3929913,0.02,0.7747955
2.4030037,0.02,0.77142745
2.4130163,0.02,0.7680537
2.4230287,0.02,0.7646721
2.4330413,0.02,0.761283
2.4430537,0.02,0.7578866
2.4530663,0.02,0.75448114
2.4630787,0.02,0.7510671
2.4730914,0.02,0.7476434
2.483104,0.02,0.7442108
2.4931166,0.02,0.7407679
2.503129,0.02,0.7373145
2.5131416,0.02,0.7338508
2.523154,0.02,0.73037606
2.5331666,0.02,0.72688943
2.543179,0.02,0.7233916
2.5531917,0.02,0.7198822
2.563204,0.02,0.71635944
2.5732167,0.02,0.7128249
2.583229,0.02,0.70927745
2.5932417,0.02,0.7057168
2.603254,0.02,0.70214325
2.6132667,0.02,0.69855696
2.623279,0.02,0.6949561
2.6332917,0.02,0.691343
2.643304,0.02,0.68771595
2.6533167,0.02,0.68407565
2.6633291,0.02,0.68042105
2.6733418,0.02,0.6767538
2.6833541,0.02,0.673073
2.6933668,0.02,0.6693787
2.7033792,0.02,0.66567177
2.7133918,0.02,0.6619521
2.7234044,0.02,0.6582207
2.733417,0.02,0.6544767
2.7434294,0.02,0.6507222
2.753442,0.02,0.64695555
2.7634544,0.02,0.6431803
2.773467,0.02,0.6393942
2.7834795,0.02,0.63560015
2.793492,0.02,0.63179845
2.8035045,0.02,0.62798935
2.813517,0.02,0.62417513
2.8235295,0.02,0.62035555
2.833542,0.02,0.6165331
2.8435545,0.02,0.6127092
2.8535671,0.02,0.6088843
2.8635795,0.02,0.6050618
2.8735921,0.02,0.60124284
2.8836045,0.02,0.59742934
2.8936172,0.02,0.59362346
2.9036295,0.02,0.5898277
2.9136422,0.02,0.5860445
2.9236546,0.02,0.5822776
2.9336672,0.02,0.57852906
2.9436796,0.02,0.57480186
2.9536922,0.02,0.57110053
2.9637046,0.02,0.5674291
2.9737172,0.02,0.5637904
2.9837296,0.02,0.5601894
2.9937422,0.02,0.5566314
3.0037546,0.02,0.5531208
3.0137672,0.02,0.54966336
3.0237796,0.02,0.54626507
3.0337923,0.02,0.542932
3.043805,0.02,0.53967124
3.0538175,0.02,0.5364898
3.06383,0.02,0.5333956
3.0738425,0.02,0.53039664
3.083855,0.02,0.52750236
3.0938675,0.02,0.52472204
3.10388,0.02,0.52206534
3.1138926,0.02,0.51954395
3.123905,0.02,0.5171693
3.1339176,0.02,0.5149538
3.14393,0.02,0.5129103
3.1539426,0.02,0.5110524
3.163955,0.02,0.5093966
3.1739676,0.02,0.507958
3.18398,0.02,0.50675327
3.1939926,0.02,0.50580055
3.204005,0.02,0.5051194
3.2140176,0.02,0.5047297
3.22403,0.02,0.5046528
3.2340426,0.02,0.50491124
3.244055,0.02,0.5055298
3.2540677,0.02,0.5065325
3.26408,0.02,0.50794584
3.2740927,0.02,0.5097982
3.2841053,0.02,0.5121189
3.294118,0.02,0.514937
3.3041303,0.02,0.51828724
3.314143,0.02,0.5222011
3.3241553,0.02,0.5267138
3.334168,0.02,0.5318621
3.3441803,0.02,0.53768295
3.354193,0.02,0.5442165
3.3642054,0.02,0.5515023
3.374218,0.02,0.5595807
3.3842304,0.02,0.5684963
3.394243,0.02,0.57829195
3.4042554,0.02,0.5890129
3.414268,0.02,0.600707
3.4242804,0.02,0.6134177
3.434293,0.02,0.6271937
3.4443054,0.02,0.64208114
3.454318,0.02,0.658131
3.4643304,0.02,0.6753889
3.474343,0.02,0.69390255
3.4843554,0.02,0.7137188
3.494368,0.02,0.7348867
3.5043805,0.02,0.7574479
3.514393,0.02,0.7814488
3.5244055,0.02,0.80693144
3.534418,0.02,0.8339342
3.5444305,0.02,0.8624952
3.5544431,0.02,0.89264864
3.5644555,0.02,0.92442626
3.5744681,0.02,0.9578533
3.5844805,0.02,0.9929516
3.5944932,0.02,1.0297408
3.6045058,0.02,1.0682333
3.6145184,0.02,1.1084334
3.6245308,0.02,1.150346
3.6345434,0.02,1.1939555
3.6445558,0.02,1.239259
3.6545684,0.02,1.2862262
3.6645808,0.02,1.3348365
3.6745934,0.02,1.3850527
3.6846058,0.02,1.4368293
3.6946185,0.02,1.4901105
3.7046309,0.02,1.5448425
3.7146435,0.02,1.6009643
3.7246559,0.02,1.658391
3.7346685,0.02,1.7170455
3.744681,0.02,1.7768362
3.7546935,0.02,1.8376632
3.764706,0.02,1.8994329
3.7747185,0.02,1.9620397
3.784731,0.02,2.0253577
3.7947435,0.02,2.0892856
3.804756,0.02,2.1537006
3.8147686,0.02,2.218471
3.824781,0.02,2.2834828
3.8347936,0.02,2.3486085
3.8448062,0.02,2.4137163
3.8548188,0.02,2.4786816
3.8648312,0.02,2.543379
3.8748438,0.02,2.607681
3.8848562,0.02,2.6714642
3.8948689,0.02,2.7346165
3.9048812,0.02,2.7970085
3.9148939,0.02,2.8585374
3.9249063,0.02,2.9190838
3.9349189,0.02,2.9785407
3.9449313,0.02,3.0368023
3.954944,0.02,3.093778
3.9649563,0.02,3.14936
3.974969,0.02,3.2034757
3.9849813,0.02,3.2560222
3.994994,0.02,3.3069246
4.005006,0.02,3.3561099
4.0150185,0.02,3.4035008
4.025031,0.02,3.4490285
4.0350432,0.02,3.4926374
4.045056,0.02,3.5342653
4.0550685,0.02,3.5738513
4.065081,0.02,3.611355
4.0750933,0.02,3.6467235
4.0851064,0.02,3.6799147
4.095119,0.02,3.7109
4.1051316,0.02,3.7396457
4.115144,0.02,3.7661269
4.1251564,0.02,3.7903092
4.135169,0.02,3.8121846
4.1451817,0.02,3.8317397
4.155194,0.02,3.8489714
4.1652064,0.02,3.8638756
4.175219,0.02,3.8764598
4.1852317,0.02,3.8867273
4.195244,0.02,3.894704
4.2052565,0.02,3.9004145
4.215269,0.02,3.903878
4.2252817,0.02,3.9051507
4.235294,0.02,3.9042633
4.2453065,0.02,3.9012804
4.255319,0.02,3.8962474
4.2653317,0.02,3.8892531
4.275344,0.02,3.8803575
4.2853565,0.02,3.8696492
4.295369,0.02,3.8572166
4.305382,0.02,3.8431613
4.315394,0.02,3.827586
4.325407,0.02,3.8105936
4.3354197,0.02,3.7923155
4.3454323,0.02,3.7728515
4.3554444,0.02,3.7523453
4.365457,0.02,3.7309017
4.3754697,0.02,3.708665
4.3854823,0.02,3.6857636
4.3954945,0.02,3.6623168
4.405507,0.02,3.6384652
4.4155197,0.02,3.6143224
4.4255323,0.02,3.5900156
4.4355445,0.02,3.565663
4.445557,0.02,3.5413709
4.4555697,0.02,3.517245
4.4655824,0.02,3.4933891
4.4755945,0.02,3.4698858
4.485607,0.02,3.4468222
4.49562,0.02,3.4242606
4.5056324,0.02,3.4022648
4.5156446,0.02,3.3809037
4.525657,0.02,3.3602011
4.53567,0.02,3.3401985
4.5456824,0.02,3.3209171
4.5556946,0.02,3.3023784
4.565707,0.02,3.2845898
4.57572,0.02,3.2675412
4.5857325,0.02,3.25123
4.5957446,0.02,3.2356346
4.605757,0.02,3.2207403
4.61577,0.02,3.2065194
4.6257825,0.02,3.1929317
4.6357946,0.02,3.1799452
4.6458073,0.02,3.1675193
4.65582,0.02,3.1556087
4.6658325,0.02,3.1441624
4.6758447,0.02,3.133136
4.6858573,0.02,3.1224825
4.69587,0.02,3.1121428
4.7058825,0.02,3.1020694
4.7158947,0.02,3.0922158
4.7259073,0.02,3.0825229
4.73592,0.02,3.072946
4.7459326,0.02,3.063432
4.7559447,0.02,3.05393
4.7659574,0.02,3.0444028
4.77597,0.02,3.034796
4.7859826,0.02,3.0250676
4.7959948,0.02,3.01518
4.8060074,0.02,3.0050907
4.81602,0.02,2.9947624
4.8260326,0.02,2.9841611
4.836045,0.02,2.9732516
4.8460574,0.02,2.9620063
4.85607,0.02,2.9503982
4.8660827,0.02,2.9383981
4.876095,0.02,2.925986
4.8861074,0.02,2.9131405
4.89612,0.02,2.899845
4.9061327,0.02,2.8860824
4.916145,0.02,2.8718405
4.9261575,0.02,2.8571057
4.93617,0.02,2.8418753
4.9461827,0.02,2.8261402
4.956195,0.02,2.8098996
4.9662075,0.02,2.7931483
4.97622,0.02,2.7758906
4.9862328,0.02,2.7581291
4.996245,0.02,2.739869
5.0062575,0.02,2.7211158
5.01627,0.02,2.701885
5.026283,0.02,2.6821823
5.036295,0.02,2.662023
5.0463076,0.02,2.6414223
5.05632,0.02,2.6203952
5.066333,0.02,2.5989585
5.076345,0.02,2.577136
5.0863576,0.02,2.5549407
5.09637,0.02,2.5323975
5.106383,0.02,2.5095317
5.116395,0.02,2.4863656
5.1264076,0.02,2.4629169
5.1364202,0.02,2.4392154
5.146433,0.02,2.4152849
5.156445,0.02,2.3911507
5.1664577,0.02,2.366835
5.1764703,0.02,2.3423648
5.186483,0.02,2.3177686
5.196495,0.02,2.2930677
5.206508,0.02,2.2682853
5.216521,0.02,2.243454
5.2265334,0.02,2.2185857
5.2365456,0.02,2.193714
5.246558,0.02,2.1688554
5.256571,0.02,2.144035
5.2665834,0.02,2.119274
5.2765956,0.02,2.094591
5.286608,0.02,2.0700066
5.296621,0.02,2.0455394
5.3066335,0.02,2.0212061
5.3166456,0.02,1.9970257
5.3266582,0.02,1.973012
5.336671,0.02,1.9491804
5.3466835,0.02,1.9255431
5.3566957,0.02,1.9021165
5.3667083,0.02,1.8789091
5.376721,0.02,1.8559344
5.3867335,0.02,1.8332026
5.3967457,0.02,1.81072
5.4067583,0.02,1.7884965
5.416771,0.02,1.7665379
5.4267836,0.02,1.7448523
5.4367957,0.02,1.7234471
5.446809,0.02,1.7023208
5.4568214,0.02,1.6814861
5.466834,0.02,1.6609418
5.476846,0.02,1.6406913
5.486859,0.02,1.6207366
5.4968715,0.02,1.6010785
5.506884,0.02,1.5817206
5.5168962,0.02,1.5626619
5.526909,0.02,1.5439017
5.5369215,0.02,1.5254436
5.546934,0.02,1.5072806
5.5569463,0.02,1.4894199
5.566959,0.02,1.4718506
5.5769715,0.02,1.4545774
5.586984,0.02,1.4375961
5.5969963,0.02,1.4209065
5.607009,0.02,1.4045033
5.6170216,0.02,1.3883843
5.627034,0.02,1.3725481
5.6370463,0.02,1.3569913
5.647059,0.02,1.3417089
5.6570716,0.02,1.3266983
5.667084,0.02,1.3119574
5.6770964,0.02,1.2974806
5.687109,0.02,1.2832663
5.6971216,0.02,1.2693086
5.7071342,0.02,1.2556067
5.7171464,0.02,1.2421536
5.727159,0.02,1.2289479
5.7371716,0.02,1.2159822
5.7471843,0.02,1.2032576
5.7571964,0.02,1.190767
5.767209,0.02,1.1785066
5.7772217,0.02,1.1664741
5.7872343,0.02,1.1546643
5.7972465,0.02,1.1430738
5.807259,0.02,1.1316984
5.8172717,0.02,1.1205356
5.8272843,0.02,1.1095788
5.8372965,0.02,1.0988271
5.847309,0.02,1.0882757
5.8573217,0.02,1.0779207
5.8673344,0.02,1.0677607
5.8773465,0.02,1.0577891
5.887359,0.02,1.0480034
5.897372,0.02,1.0383997
5.9073844,0.02,1.0289762
5.9173965,0.02,1.0197287
5.927409,0.02,1.0106535
5.937422,0.02,1.0017478
5.9474344,0.02,0.9930088
5.9574466,0.02,0.98443216
5.967459,0.02,0.97601444
5.977472,0.02,0.96775407
5.9874845,0.02,0.95964736
5.9974966,0.02,0.9516924
6.007509,0.02,0.9438847
6.017522,0.02,0.936222
6.0275345,0.02,0.92870253
6.0375466,0.02,0.9213219
6.0475593,0.02,0.9140782
6.057572,0.02,0.9069683
6.0675845,0.02,0.89999
6.0775967,0.02,0.89314204
6.0876093,0.02,0.8864197
6.097622,0.02,0.87982136
6.1076345,0.02,0.8733445
6.1176467,0.02,0.86698824
6.1276593,0.02,0.86074823
6.137672,0.02,0.8546234
6.1476846,0.02,0.8486101
6.1576967,0.02,0.8427082
6.1677094,0.02,0.8369141
6.177722,0.02,0.8312257
6.1877346,0.02,0.8256417
6.1977468,0.02,0.8201595
6.2077594,0.02,0.8147778
6.217772,0.02,0.80949444
6.2277846,0.02,0.8043063
6.237797,0.02,0.7992131
6.24781,0.02,0.79421157
6.2578225,0.02,0.7893017
6.267835,0.02,0.7844793
6.2778473,0.02,0.7797461
6.28786,0.02,0.77509755
6.2978725,0.02,0.7705323
6.307885,0.02,0.7660485
6.3178973,0.02,0.76164776
6.32791,0.02,0.7573245
6.3379226,0.02,0.75307816
6.347935,0.02,0.7489087
6.3579473,0.02,0.7448136
6.36796,0.02,0.74079126
6.3779726,0.02,0.73683995
6.387985,0.02,0.73295945
6.3979974,0.02,0.7291476
6.40801,0.02,0.7254037
6.4180226,0.02,0.72172564
6.4280353,0.02,0.71811265
6.4380474,0.02,0.7145632
6.44806,0.02,0.71107644
6.4580727,0.02,0.70764965
6.4680853,0.02,0.7042838
6.4780974,0.02,0.700977
6.48811,0.02,0.69772726
6.4981227,0.02,0.6945339
6.5081353,0.02,0.69139665
6.5181475,0.02,0.6883139
6.52816,0.02,0.68528384
6.5381727,0.02,0.6823061
6.5481853,0.02,0.67937905
6.5581975,0.02,0.6765036
6.56821,0.02,0.6736761
6.5782228,0.02,0.6708978
6.5882354,0.02,0.66816646
6.5982475,0.02,0.665482
6.60826,0.02,0.6628422
6.618273,0.02,0.66024715
6.6282854,0.02,0.65769607
6.6382976,0.02,0.65518826
6.6483107,0.02,0.6527223
6.6583233,0.02,0.650297
6.668336,0.02,0.6479129
6.678348,0.02,0.6455683
6.6883607,0.02,0.6432627
6.6983733,0.02,0.64099485
6.708386,0.02,0.63876444
6.718398,0.02,0.6365716
6.7284107,0.02,0.6344134
6.7384233,0.02,0.632291
6.748436,0.02,0.63020355
6.758448,0.02,0.6281499
6.7684608,0.02,0.6261291
6.7784734,0.02,0.62414044
6.788486,0.02,0.6221841
6.798498,0.02,0.6202591
6.808511,0.02,0.6183644
6.8185234,0.02,0.6164996
6.828536,0.02,0.61466604
6.838548,0.02,0.61286014
6.848561,0.02,0.611083
6.8585734,0.02,0.60933274
6.868586,0.02,0.6076105
6.878598,0.02,0.605915
6.888611,0.02,0.604245
6.8986235,0.02,0.6026017
6.908636,0.02,0.6009827
6.9186482,0.02,0.59938926
6.928661,0.02,0.5978196
6.9386735,0.02,0.59627384
6.948686,0.02,0.5947512
6.9586983,0.02,0.593252
6.968711,0.02,0.5917739
6.9787235,0.02,0.59031934
6.988736,0.02,0.58888465
6.9987483,0.02,0.587472
7.008761,0.02,0.5860806
7.0187736,0.02,0.58470815
7.028786,0.02,0.5833567
7.0387983,0.02,0.5820243
7.048811,0.02,0.5807106
7.0588236,0.02,0.5794162
7.068836,0.02,0.5781397
7.0788484,0.02,0.57688135
7.088861,0.02,0.57564074
7.0988736,0.02,0.57441753
7.1088862,0.02,0.5732115
7.1188984,0.02,0.5720219
7.128911,0.02,0.5708485
7.1389236,0.02,0.5696915
7.1489363,0.02,0.5685496
7.1589484,0.02,0.5674239
7.168961,0.02,0.56631213
7.1789737,0.02,0.56521565
7.1889863,0.02,0.56413394
7.1989985,0.02,0.56306654
7.209011,0.02,0.5620131
7.2190237,0.02,0.5609731
7.2290363,0.02,0.55994624
7.2390485,0.02,0.55893236
7.249061,0.02,0.5579317
7.2590737,0.02,0.55694395
7.2690864,0.02,0.5559681
7.2790985,0.02,0.55500454
7.289111,0.02,0.5540531
7.299124,0.02,0.55311304
7.3091364,0.02,0.552185
7.3191485,0.02,0.5512673
7.329161,0.02,0.55036086
7.339174,0.02,0.54946536
7.3491864,0.02,0.5485806
7.3591986,0.02,0.5477058
7.3692117,0.02,0.5468412
7.3792243,0.02,0.5459865
7.389237,0.02,0.545142
7.399249,0.02,0.54430634
7.4092617,0.02,0.5434812
7.4192743,0.02,0.54266423
7.429287,0.02,0.54185635
7.439299,0.02,0.54105777
7.4493117,0.02,0.54026777
7.4593244,0.02,0.5394853
7.469337,0.02,0.5387121
7.479349,0.02,0.53794676
7.489362,0.02,0.53719026
7.4993744,0.02,0.53644043
7.509387,0.02,0.53569883
7.519399,0.02,0.5349651
7.529412,0.02,0.5342377
7.5394244,0.02,0.5335186
7.549437,0.02,0.5328066
7.559449,0.02,0.5321011
7.569462,0.02,0.53140193
7.5794744,0.02,0.5307104
7.589487,0.02,0.53002506
7.599499,0.02,0.5293459
7.609512,0.02,0.52867323
7.6195245,0.02,0.5280071
7.629537,0.02,0.5273469
7.6395493,0.02,0.52669233
7.649562,0.02,0.52604383
7.6595745,0.02,0.5254014
7.669587,0.02,0.52476376
7.6795993,0.02,0.5241316
7.689612,0.02,0.52350515
7.6996245,0.02,0.5228841
7.709637,0.02,0.5222679
7.7196493,0.02,0.5216568
7.729662,0.02,0.52105135
7.7396746,0.02,0.5204497
7.749687,0.02,0.51985365
7.7596993,0.02,0.5192626
7.769712,0.02,0.5186749
7.7797246,0.02,0.51809245
7.789737,0.02,0.51751417
7.7997494,0.02,0.5169404
7.809762,0.02,0.5163711
7.8197746,0.02,0.5158054
7.8297873,0.02,0.5152444
7.8397994,0.02,0.51468676
7.8498125,0.02,0.51413316
7.859825,0.02,0.5135841
7.8698378,0.02,0.5130376
7.87985,0.02,0.51249534
7.8898625,0.02,0.51195663
7.899875,0.02,0.5114216
7.909888,0.02,0.51089066
7.9199,0.02,0.5103621
7.9299126,0.02,0.5098372
7.939925,0.02,0.5093158
7.949938,0.02,0.508797
7.95995,0.02,0.508282
7.9699626,0.02,0.5077693
7.979975,0.02,0.5072604
7.989988,0.02,0.506754
8.0,0.02,0.5062508
0.0,0.04,1.4133058
0.010012516,0.04,1.4202676
0.020025032,0.04,1.4273946
0.030037548,0.04,1.4346817
0.040050063,0.04,1.4421399
0.05006258,0.04,1.4497912
0.060075097,0.04,1.4576695
0.07008761,0.04,1.4658101
0.08010013,0.04,1.4742517
0.09011264,0.04,1.4830334
0.10012516,0.04,1.4921899
0.11013767,0.04,1.5017538
0.12015019,0.04,1.511754
0.1301627,0.04,1.5222132
0.14017522,0.04,1.5331507
0.15018773,0.04,1.5445814
0.16020025,0.04,1.5565159
0.17021278,0.04,1.5689616
0.18022528,0.04,1.5819192
0.1902378,0.04,1.5953891
0.20025031,0.04,1.6093681
0.21026284,0.04,1.6238482
0.22027534,0.04,1.6388206
0.23028786,0.04,1.6542711
0.24030039,0.04,1.6701868
0.2503129,0.04,1.6865492
0.26032543,0.04,1.7033386
0.27033794,0.04,1.7205322
0.28035045,0.04,1.7381077
0.29036295,0.04,1.7560382
0.3003755,0.04,1.7742965
0.310388,0.04,1.7928536
0.3204005,0.04,1.8116779
0.330413,0.04,1.8307376
0.34042555,0.04,1.8500004
0.35043806,0.04,1.8694305
0.36045057,0.04,1.8889964
0.37046307,0.04,1.9086602
0.3804756,0.04,1.9283869
0.39048812,0.04,1.9481425
0.40050063,0.04,1.9678907
0.41051313,0.04,1.9875965
0.42052567,0.04,2.0072267
0.43053818,0.04,2.0267475
0.44055068,0.04,2.0461254
0.4505632,0.04,2.06533
0.46057573,0.04,2.0843313
0.47058824,0.04,2.1030993
0.48060077,0.04,2.1216066
0.49061328,0.04,2.139828
0.5006258,0.04,2.1577368
0.5106383,0.04,2.1753101
0.52065086,0.04,2.1925256
0.5306634,0.04,2.2093625
0.5406759,0.04,2.2258003
0.5506884,0.04,2.2418199
0.5607009,0.04,2.257403
0.5707134,0.04,2.272533
0.5807259,0.04,2.2871914
0.5907384,0.04,2.3013628
0.600751,0.04,2.3150299
0.6107635,0.04,2.328177
0.620776,0.04,2.3407872
0.6307885,0.04,2.352843
0.640801,0.04,2.364327
0.6508135,0.04,2.3752203
0.660826,0.04,2.385503
0.67083853,0.04,2.395156
0.6808511,0.04,2.4041553
0.6908636,0.04,2.4124777
0.7008761,0.04,2.4200985
0.7108886,0.04,2.4269903
0.72090113,0.04,2.4331243
0.73091364,0.04,2.438469
0.74092615,0.04,2.4429908
0.75093865,0.04,2.4466565
0.7609512,0.04,2.449427
0.7709637,0.04,2.4512644
0.78097624,0.04,2.452127
0.79098874,0.04,2.451972
0.80100125,0.04,2.4507568
0.81101376,0.04,2.4484334
0.82102627,0.04,2.4449575
0.8310388,0.04,2.4402823
0.84105134,0.04,2.4343615
0.85106385,0.04,2.42715
0.86107635,0.04,2.4186034
0.87108886,0.04,2.4086814
0.88110137,0.04,2.3973448
0.8911139,0.04,2.384562
0.9011264,0.04,2.3703027
0.9111389,0.04,2.3545456
0.92115146,0.04,2.3372786
0.93116397,0.04,2.3184955
0.9411765,0.04,2.2982023
0.951189,0.04,2.2764146
0.96120155,0.04,2.2531607
